№,q1.1.                   первое прилагательное,q1.2.                 второе прилагательное,q1.3. третье прилагательное,"q2. факультет, на который подали заявление",q3. оценка вероятности поступления,q4. источник информации о факультете,q4.7. источник информации о факультете (другое),q6. альтернативные места поступления,"q7. наличие родственников, окончивших факультет","q7.1 родственникb, окончившие факультет",q8. работает ли он по специальности (кодируется только если в q7. ответ 1),q9. планирование работать по специальности,q10.1. фактор,q10.2. фактор,q10.3. фактор,q10.7 другое,q11.1.1 вуз,q11.1.2 факультет,q12.1.,q12.2.,q12.3.,q12.7 другое,q13. подготовка перед поступлением,q13.4 курсы в вузе,q13.6. подготовка перед поступлением (другое),q14.1. математика,q14.2. русский язык,q14.3. обществознание,q14.4. иностранный язык,q14.5. история,q15.1.,q15.2.,q15.3.,q15.4.,q15.5.,q15.6.,q15.7.,q15.8.,q15.9.,q15.10.,q16. вероятность поступления на другие факультеты,q17.1. название компании (организации),q17.2. направление (профиль деятельности),q17.3. функциональные обязанности,q18. возможность договорного обучения,q19. образовательный кредит,q20. возраст респондента,q21. пол респондента,q22. место жительства респондента,q22.2 ,q22.3,q23.1. образование (отец),q23.2. образование (мать),q23.8.1 образование (отец),q23.8.2 образование (мать),q23.8. образование родителей (другое),q24. материальное положение семьи,q25. количество иностранных языков,q25.1 иностранный язык,q25.2 иностранный язык,q25.3 иностранный язык,q26. социальный слой семьи
609,интересный, хороший, высокий уровень подготовки,Факультет глобальных процессов,7,4,  -,экономический,2,  -,  -,2,1,2,4, -,ВШЭ,МИЭФ,3, -, -, -,1, -, -,87,90,60,80, -,3,1,3,2,1,3,3,1,1,3,10,ГАЗПРОМ,Финансовый директор,управление финансами,1,2,18,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
610,непонятный, интересный, многообещающий,Механико–математический факультет,5,3.6,  -, -,2,  -,  -,2,1,2,6, -,ФУ при ПРФ,политологии,1,2,3, -,1, -, -,73,91,89,87, -,4,2,1,2,3,1,4,2,1,1,7,правительственные организации,гос. упр.,З.О.,3,2,16,2,2,Калуга,-,4,4,-,-,-,4,1,английский,-,-,3
611,интересный, увлекательный, престижный,Факультет государственного управления,8,2,  -,юридический факультет,2,  -,  -,1,1,4,5, -,ФУ при ПРФ,юр. фак.,1,2,5, -,1, -, -,91,89,90,97,93,3,3,2,2,2,1,3,1,3,1,7,Теньков кредитные системы,кредиты,,1,2,17,1,1,-,-,4,4,-,-,-,6,2,английский,немецкий,-,2
612,престижный, дорогой, интересный,Экономический факультет,7,6,  -,"юридический факультет, исторический",2,  -,  -,4,1,4,6, -,МГИМО,МО,1,2,3, -,1, -, -,50,75,85,80,70,1,3,2,5,5,2,2,1,4,3,8,Газпром,нефтяной магнат,руководитель,3,1,17,1,1,-,-,2,3,-,-,-,3,1,английский,-,-,3
613,важный, умный, точный,Факультет психологии,9,1,  -,ВШБ,2,  -,  -,1,1,2,5, -,МГЮА,суд. экспертиза,1,2,4, -,1, -, -,75,92,96,66,90,1,3,2,1,1,3,3,5,5,5,5,прокуратура,следователь,вести следственные мероприятия,1,2,17,1,1,-,-,1,1,-,-,-,6,4,-,-,-,1
614,,,,Факультет фундаментальной медицины,7,3.5,  -,факультет государственного управления,2,  -,  -,4,1,4,6, -,НИУ -ВШЭ,менеджмент,1,3,5, -,1, -, -,90,68,80,78,96,2,4,2,1,1,5,3,1,1,3,8,в аналитической компании,экономика,анализ экономической ситуации,2,2,17,1,1,-,-,1,1,-,-,-,6,1,английский,-,-,3
615,интересный, перспективный, многообещающий,Экономический факультет,5,3,  -,факультет государственного управления,2,  -,  -,2,1,4,7,самостоятельно,ГУУ,менеджмент,2, -, -, -,7, -, -,70,95,75,65,56,1,2,3,2,2,5,3,5,5,5,4,не думала об этом,,,2,3,17,2,2,Красноярск,-,4,4,-,-,-,5,0,-,-,-,3
616,классный открытый серьезный,,,Высшая школа бизнеса (факультет),8,3,  -,факультет государственного управления,2,  -,  -,2,1,3,6, -,ВАВТ,ФМП,1,3, -, -,1, -, -,60,70,70,69,70,4,1,1,1,1,3,3,1,1,1,8,Газпром,,,1,2,17,1,2,Брянск,-,4,4,-,-,-,4,2,английский,немецкий,-,2
617,престижный, дорогой, надеюсь бюджетный,Факультет политологии,8,1,  -, -,2,  -,  -,2,1,2,4, -,РГГУ,экон.,2, -, -, -,1, -, -,77,82,83,56,65,2,3,2,2,3,2,1,2,2,2,7,не думал,,,2,2,16,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
618,сложный,интересный,полезный,Экономический факультет,1,3,  -, -,2,  -,  -,4,1,2,5, -,РГСУ,менеджмент,2, -, -, -,1, -, -,52,72,57,56,54,1,3,2,3,5,4,5,5,5,5,1,не думала ,,,3,3,17,2,1,-,-,4,4,-,-,-,6,2,английский,армянский,-,3
619,успешный, классический, интересный,Экономический факультет,7,3.5,  -,исторический,2,  -,  -,1,1,4,7,самостоятельно,ФУ при ПРФ,юр. фак.,2,5, -, -,1, -, -,70,84,87,80,75,1,4,3,5,2,1,2,1,1,1,7,адвокатская компания,законодательство,"знание законов, кодесов",3,3,18,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
620,большой, красивый, неизведанный,Факультет государственного управления,5,4,  -,Физико-химический,2,  -,  -,1,4,  -,  -, -,МИФИ,Физический,6, -, -, -,1, -, -,70,92,66,81,80,4,4,4,1,4,4,1,1,1,5,5,,,,2,3,18,2,2,Киров,-,4,-,-,-,-,4,1,английский,-,-,4
621,Сложный, престижный, хороший,Экономический факультет,9,"1,2,3,4,5,6",  -,Астрономия,2,  -,  -,2,1,  -,  -, -,МФТИ,ФОПФ;ФМБФ;ФФКЕ,2,3,5, -,1, -, -,70,95,65,68, -,3,2,3,2,1,1,1,1,1,2,8,ЦЕРН,Физик-теоретик,,3,2,17,1,1,-,-,4,-,-,-,-,5,1,английский,-,-,2
622,Экономический, перспективный,,Экономический факультет,7,"1,2,3,4,5,6",  -,"Геологический, Механикоматематический",2,  -,  -,2,1,4,  -, -,МАИ,Радиофизика,2,5,6, -,7, -, -,52,73,80,58, -,4,1,4,1,1,3,5,2,2,3,9,,,,2,3,16,1,1,-,-,6,-,-,-,-,6,2,английский,немецкий,-,2
623,необычный, креативный, дающий глубокие знания,Факультет глобальных процессов,7,"3,5,6",  -,"Геологический, Механикоматематический",2,  -,  -,2,1,3,5, -,МИФИ,Прикладная физика,2,5, -, -,5, -, -,60,65,57,55, -,4,1,3,2,2,3,2,1,3,4,7,,,,3,3,17,1,1,-,-,4,6,-,-,-,3,1,английский,-,-,3
624,Международный, интересный, значительный,Факультет мировой политики,7,3,  -, -,2,  -,  -,2,1,  -,  -, -,нет других, -,2,3, -, -,1, -, -,79,73,61,45, -,3,3,2,2,2,2,2,2,2,2,,,,,2,2,17,1,1,-,-,4,-,-,-,-,7,1,английский,-,-,2
625,прикольный,престижный,сложный,Факультет государственного управления,5,3,  -,Механикоматематический,2,  -,  -,2,1,2,  -, -,нет других, -,2, -, -, -,1, -, -,78,82,54,57, -,3,2,4,2,3,4,4,4,1,1,5,Форс-центр разработок,,,2,2,16,1,1,-,-,3,4,-,-,-,5,1,английский,-,-,2
626,сложный, литературный, желанный,Филологический факультет,10,"1,2,3,4,5,6",  -,Механикоматематический,2,  -,  -,2,1,2,4, -,ГУ-ВШЭ,Математический,2, -, -, -,5, -, -,87,90,63,61, -,3,2,3,3,4,4,4,5,1,2,10,,,,2,2,17,2,2,Дзержинск,-,4,6,-,-,-,5,1,английский,-,-,3
627,интересный, перспективный, крутой,Социологический факультет,8,2,  -, -,1,знакомые,2,2,1,2,5, -,МИФИ,Прикладная физика,1,2,6, -,"1,2,5", -, -,85,70,55,54,65, -, -, -, -, -, -, -, -, -, -,7,,,,2,2,18,1,2,Троицк,-,4,-,-,-,-,5,1,английский,-,-,3
628,хороший, доброжелательный, классный,Высшая школа современных социальных наук (факультет),10,3,  -,Механикоматематический,2,  -,  -,2,  -,  -,  -,Собственное желание,нет других, -,1, -, -, -,1, -, -,72,72,57,63,66,4,4,4,2,2,1,1,1,1,5,10,,,,3,3,18,1,2,Балашиха,-,2,-,-,-,-,5,1,английский,-,-,3
629,хороший, перспективный, интересный,Экономический факультет,10,5,  -,Механикоматематический,2,  -,  -,2,  -,  -,  -,Ограничение подачи в 5 вузов,МГТУ,Техника,2, -, -, -,1, -, -,74,95,56,55,57,4,2,3,2,2,1,2,1,4,2,10,,,,2,2,17,1,1,-,-,4,-,-,-,-,4,2,английский,немецкий,-,3
630,перспективный,интересный,умный,Исторический факультет,5,"3, 4",  -,"юридический, экономический",2,  -,  -,4,1,5,6, -,ГУУ,"социологический, государственное управление, юридический",2,3,6, -,1.5, -, -,63,80,93,57,61,3,4,2,3,3,1,4,3,2,2,4,З.О.,З.О.,подсчитывать данные,1,3,17,2,1,-,-,4,3,-,-,-,5,1,английский,-,-,3
631,великолепный,тяжелый,,Экономический факультет,6,3,  -,"социологический, экономический",1,подружка из школы,4,2,1,2,7,собственное понимание,ГУУ,"государственное управление, социологический",1,5,6, -,"1,2,5", -, -,91,73,80, -, -,3,4,2,4,2,2,4,2,5,3,7,З.О.,З.О.,"управление, работа с людьми",2,3,18,2,2,Королев,-,7,7,-,-,-,3,1,английский,-,-,4
632,крутой,интересный,дорогой,Высшая школа перевода (факультет),6,"2, 3",  -,Высшая школа современных социальных наук ,1,из школы друг,3,3,2,3,6, -,ГУУ,"государственное управление, социологический",1,4, -, -,7, -, -,53,70,65,34,63,4,2,1,4,2,1,4,3,1,5,7,Газпром,З.О.,не знаю,1,1,20,1,1,-,-,6,2,-,-,-,5,1,английский,-,-,1
633,Популярный, эффективный, сложный,Экономический факультет,9,"1, 4, 5",  -,"экономический, юридический",1,знакомый отца,1,1,1,2,5, -,НИУ ВШЭ,"экономический, социологический",1,2,6, -,"1,2,5", -, -,100,80,80,73,55,3,3,2,2,2,1,4,2,1,5,8,,"организация, управление",,3,3,17,2,2,Тарасовка,-,4,7,-,-,-,5,2,английский,немецкий,-,3
634,серьезный открытый классный,,,Высшая школа бизнеса (факультет),7,"3, 4, 5",  -,никакой,2,  -,  -,2,1,3,5, -,ГУУ,социологический,1,2, -, -,2.5, -, -,73,89,80, -, -,3,2,2,2,2,1,4,5,5,5,8,З.О.,"работать с людьми, не знаю","следить за выполнением, нарушениями в структуре",2,3,16,2,1,-,-,4,3,-,-,-,3,1,английский,-,-,5
635,,,,Философский факультет,7,"3, 4",  -,экономический,2,  -,  -,1,1,2,4, -,РГГУ,"экономический, социологический",1,2,3, -,"1,2,5", -, -,91,98,87,91,66,3,4,2,3,3,1,4,1,2,5,8,,"аналитическая деятельность, бухгалтер","анализ, оформеление бумаг",1,3,17,2,2,Челябинск,-,4,4,-,-,-,5,2,английский,немецкий,-,2
636,непонятный, неизвестный, хороший,Социологический факультет,5,3,  -,экономический,2,  -,  -,2,1,3,  -, -,НИУ ВШЭ,социологический,6, -, -, -,4,ГУ ВШЭ, -,79,74,76,45,56,3,5,5,2,2,2,5,2,2,5,5,,организационная работа,управление персоналом,2,2,17,1,2,Одинцово,-,4,4,-,-,-,4,1,английский,-,-,3
637,интересный, познавательный,,Филологический факультет,7,"3, 4",  -,исторический,2,  -,  -,2,1,  -,  -, -,МГУ,"исторический, экономический, социологический",1,2,3, -,1.5, -, -,93,68,81,91,96,4,3,2,2,2,2,4,2,2,3,7,,наука,анализирование исторических периодов,2,3,17,2,2,Болшево,-,4,3,-,-,-,4,2,английский,французский,-,3
638,неряшливый, весело-заумный,,Экономический факультет,6,"2, 3",  -,экономический,1,подруга,4,2,1,2,4, -,НИУ ВШЭ,экономический,1,2, -, -,1.5, -, -,91,87,80,89, -,2,4,1,3,3,1,4,2,2,3,8,,международная экономика,"изучение, анализ, прогнозирование процессов",3,3,18,2,2,Юбилейный,-,4,4,-,-,-,3,1,английский,-,-,5
639,перспективный, новый, желанный,Факультет государственного управления,7,"2, 3",  -,Высшая школа современных социальных наук ,2,  -,  -,2,1,4,  -, -,ГУУ,социологичксий,4,6, -, -,5, -, -,96,80,79,70, -,3,2,2,2,3,2,4,5,2,1,8,,"управление, исследования","анализ, коммуникации",2,3,18,2,2,-,-,4,4,-,-,-,3,1,английский,-,-,4
640,простой, доступный, легкий,Высшая школа государственного аудита (факультет),10,3,  -,"Социологический факультет, исторический факультет, философский факультет, политологический факультет",2,  -,  -,2,  -,  -,  -,Я сам!!!,ВГНА,Юридический,2, -, -, -,7, -, -,36,70,83,79,85,4,2,4,1,2,2,1,1,1,1,1,Газпром,Юриспруденция,Обеспечение юридической помощи компании,2,2,17,1,1,-,-,7,6,-,-,-,5,2,Немецкий,Английский,-,3
641,современный, перспективный, востребованный,Факультет фундаментальной физико–химической инженерии,8,"2,3,6",  -,Филологический факультет,2,  -,  -,1,2,5,6, -,МГИМО,МЭО,1,2,3, -,1.4,МГИМО, -,81,98,72,90,66,1,5,2,1,1,1,1,1,5,3,8,"Газпром, министерство финансов",,,2,2,17,2,2,-,-,4,4,-,-,-,4,1,Английский,-,-,3
642,престижный интеллигентный интеллектуальный,,,Экономический факультет,9,3,  -,"Исторический факультет, факультет глобальных процессов",2,  -,  -,2,1,3,6, -,МГУ,Исторический,1,2,5, -,1.4,МГУ, -, -,98,54,90,89,3,3,2,2,2,3,2,1,3,3,8,,,,2,2,17,2,1,-,-,4,4,-,-,-,5,2,Французский,Английский,-,2
643,,,,Экономический факультет,7,3,  -, -,2,  -,  -,2,1,2,6, -,нет других, -,2, -, -, -,5, -, -,66,73,45,58,100,2,3,3,2,3,2,1,2,2,3,6,Русский музей,Директор,Распределение финансов,2,2,18,1,1,-,-,4,2,-,-,-,3,1,Английский,-,-,5
